t,x,y,R,is_80
2020-10-01 05:05:06,52.130001068115234,27.20219993591309,0.75,False
2020-10-01 05:05:36,52.130001068115234,27.20219993591309,0.2,False
2020-10-01 05:06:07,52.130001068115234,27.20219993591309,0.8,False
2020-10-01 05:06:38,52.130001068115234,27.20210075378418,0.8,False
2020-10-01 05:07:10,52.130001068115234,27.20210075378418,0.6,False
2020-10-01 05:07:41,52.130001068115234,27.20210075378418,0.6,False
2020-10-01 05:08:12,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:08:36,52.130001068115234,27.20210075378418,0.6,False
2020-10-01 05:09:07,52.130001068115234,27.20210075378418,0.2,False
2020-10-01 05:09:38,52.130001068115234,27.20210075378418,0.4,False
2020-10-01 05:10:09,52.130001068115234,27.20210075378418,0.8,False
2020-10-01 05:10:40,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:11:12,52.130001068115234,27.20210075378418,0.2,False
2020-10-01 05:11:35,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:12:07,52.130001068115234,27.20210075378418,0.8,False
2020-10-01 05:12:38,52.130001068115234,27.20210075378418,0.6,False
2020-10-01 05:13:09,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:13:40,52.130001068115234,27.20210075378418,0.6,False
2020-10-01 05:14:11,52.130001068115234,27.20210075378418,0.8,False
2020-10-01 05:14:36,52.130001068115234,27.20210075378418,0.25,False
2020-10-01 05:15:07,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:15:38,52.130001068115234,27.20210075378418,0.6,False
2020-10-01 05:16:09,52.130001068115234,27.20210075378418,0.2,False
2020-10-01 05:16:40,52.130001068115234,27.20210075378418,0.6,False
2020-10-01 05:17:11,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:17:43,52.130001068115234,27.20210075378418,1.0,False
2020-10-01 05:18:05,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:18:37,52.130001068115234,27.20210075378418,0.2,False
2020-10-01 05:19:08,52.130001068115234,27.20210075378418,0.2,False
2020-10-01 05:19:39,52.130001068115234,27.20210075378418,1.0,False
2020-10-01 05:20:10,52.130001068115234,27.20210075378418,0.4,False
2020-10-01 05:20:41,52.130001068115234,27.20210075378418,0.2,False
2020-10-01 05:21:05,52.130001068115234,27.20210075378418,0.0,False
2020-10-01 05:21:37,52.130001068115234,27.20210075378418,1.0,False
2020-10-01 05:22:08,52.130001068115234,27.20210075378418,1.0,False
2020-10-01 05:22:39,52.130001068115234,27.20210075378418,0.2,False
2020-10-01 05:23:10,52.130001068115234,27.20210075378418,1.0,False
2020-10-01 05:23:41,52.130001068115234,27.20210075378418,1.0,False
